metric,project,model,features,num_predictions,percent_predictions,recall,precision,f1,mcc,train_time,pred_time
metric,effectiveness
project,devign
model,kneighborsclassifier
features,_nlp
num_predictions,2306
percent_predictions,0.43790353209266997
recall,0.527363184079602
precision,0.5516045099739809
f1,0.5392115303094531
mcc,0.1657655273031733
train_time,54.66778588294983
pred_time,3.3317365646362305
metric,effectiveness
project,devign
model,svc
features,_nlp
num_predictions,5020
percent_predictions,0.9532852259779719
recall,0.9485903814262023
precision,0.45577689243027886
f1,0.6157158234660925
mcc,-0.02045240232000263
train_time,15.877310991287231
pred_time,0.6466221809387207
metric,effectiveness
project,devign
model,randomforestclassifier
features,_nlp
num_predictions,2066
percent_predictions,0.3923281428028864
recall,0.4867330016583748
precision,0.5682478218780251
f1,0.5243412237606073
mcc,0.17774472531110977
train_time,1386.1613991260529
pred_time,0.734900951385498
metric,effectiveness
project,devign
model,adaboostclassifier
features,_nlp
num_predictions,1852
percent_predictions,0.3516900873528295
recall,0.42786069651741293
precision,0.5572354211663066
f1,0.48405253283302063
mcc,0.14664852574154089
train_time,19.005072116851807
pred_time,0.050833702087402344
